Symbol,logFC,logCPM,PValue,FDR
mRpS14,-0.168288791,4.443641899,0.575077295,0.781615537
CG3792,-0.115701093,5.987110986,0.575096681,0.781615537
CG7402,0.098004021,7.837128411,0.575148466,0.781615537
PH4alphaEFB,0.127467087,5.593596063,0.575183786,0.781615537
Prosbeta1,0.127834077,6.793578379,0.575376022,0.781764492
Eaf,0.125424094,6.179482514,0.575802278,0.782215538
CG15877,0.184971557,3.361080048,0.575873329,0.782215538
CG6734,-0.151623302,4.810091399,0.575997695,0.782272167
Mitf,0.106053626,6.576384934,0.576205749,0.782442422
CG15561,0.208185436,2.864333747,0.576475063,0.782695803
CG9249,-0.16454716,4.429591451,0.576667851,0.782845223
CG32276,0.093359072,8.059442961,0.577128976,0.783358826
Crtc,0.135167414,5.532623463,0.577751339,0.78386568
mRpS28,0.162259582,4.54637099,0.577782109,0.78386568
trr,0.159118195,5.155378936,0.577795272,0.78386568
mRpL30,-0.13384738,5.382360306,0.577908685,0.78386568
SmydA-8,0.244347365,2.478895758,0.577969132,0.78386568
Spt20,0.182141244,5.160812511,0.577999456,0.78386568
CG15160,-0.154347914,4.69951876,0.578197776,0.783971917
CG7049,0.191345054,2.22195803,0.578243501,0.783971917
dpy,-0.142264857,6.097383018,0.578787949,0.784543255
CG34348,-0.159512625,4.556299943,0.578843198,0.784543255
Pfdn5,-0.154170963,5.47637564,0.578913656,0.784543255
RpL26,0.097733603,9.57802286,0.579079131,0.784610106
Atg5,0.192802892,4.159891352,0.579170251,0.784610106
PMCA,0.094607269,8.366137136,0.579231863,0.784610106
CR46137,0.221049438,0.543383171,0.579294673,0.784610106
CG8031,-0.149875806,4.764143644,0.579584629,0.784682053
DNApol-alpha60,0.21538561,1.15267315,0.579595417,0.784682053
CG8578,0.137873445,5.497565669,0.579596583,0.784682053
ctp,-0.097395797,9.197796159,0.580242721,0.785444438
Rpi,0.184579921,4.229136282,0.580557761,0.785573363
ntc,0.173310984,4.265789565,0.580620524,0.785573363
List,-0.169873194,4.298977735,0.580630332,0.785573363
BicD,-0.106516486,6.911496342,0.580670059,0.785573363
DIP1,-0.096259037,7.662714685,0.581384941,0.786428065
CG18012,0.137348357,5.171689413,0.58160816,0.786617555
ttv,0.175042147,5.264938664,0.581948879,0.786965884
CG14322,-0.153894423,4.685796045,0.582941546,0.788099119
NAT1,0.094438294,9.107823754,0.58295347,0.788099119
CG15717,0.198315255,1.507602983,0.583557604,0.788734152
U3-55K,0.18112138,2.47321343,0.583589917,0.788734152
CG7148,-0.148583248,4.863416974,0.583699454,0.788769528
Dmtn,0.110075741,6.451184669,0.583924698,0.788773454
CG12730,0.105878812,6.625633489,0.583926593,0.788773454
CG5903,-0.092662143,8.073077908,0.583952446,0.788773454
CG7466,0.114047438,5.934386299,0.584513236,0.789418247
CG40228,0.107889255,6.390854927,0.58503895,0.790015491
CG8108,0.13243451,7.807678987,0.585194407,0.790112655
mRpL35,-0.159887042,4.546107951,0.585686852,0.790526832
Grip84,-0.129723095,5.229032707,0.585742079,0.790526832
Mulk,-0.167600746,4.096360619,0.585751809,0.790526832
Uhg8,0.226274381,0.955449506,0.585917859,0.790638161
CG3663,0.177375603,3.631184287,0.586110279,0.790730306
CG33303,-0.109640186,6.194685702,0.586153284,0.790730306
l(1)G0004,0.16246982,4.497341997,0.586476813,0.791014407
bwa,-0.129460447,5.252770276,0.586556793,0.791014407
CheB53a,0.631528236,2.82712793,0.586614679,0.791014407
CG11737,0.107641525,6.151641592,0.586745941,0.791078669
Ucp4A,-0.117223408,5.81702942,0.58696047,0.79125516
CG13603,-0.106436004,6.413450108,0.587097847,0.79132761
Marcal1,0.177951278,2.893207474,0.587298012,0.791484659
Etf-QO,0.105130993,6.222206755,0.587543894,0.791703265
Dbp80,-0.105846876,6.27366542,0.588126171,0.792375029
Grip128,0.163967956,4.14113693,0.588913303,0.793322561
sni,-0.139673766,5.018643464,0.589494826,0.793992889
CG5919,0.149402452,4.840787037,0.58958949,0.794007366
CG8229,-0.106700168,6.084200208,0.589870839,0.794212484
Nup75,0.173864209,3.804473941,0.589909674,0.794212484
GCS1,-0.123091084,5.575081555,0.590081742,0.794253706
CG2017,0.104711146,6.332125279,0.590295068,0.794253706
CG8176,0.101159455,6.815568738,0.5902968,0.794253706
CG4467,-0.140135262,5.071224215,0.590330908,0.794253706
CG10178,0.096731457,7.068591941,0.590361901,0.794253706
CG15027,-0.170900773,3.822050353,0.590443941,0.794253706
Vps26,0.125652991,6.470403533,0.590922489,0.794784448
Wdr59,0.156108085,4.439630878,0.591224158,0.795077172
SAK,0.210467295,3.54061311,0.591340714,0.795120909
IntS8,-0.153793381,4.538955324,0.59144842,0.795152735
yuri,-0.102065087,6.700581462,0.591725429,0.79540122
WDR79,0.184582664,4.057799485,0.591801373,0.79540122
Rca1,-0.180143969,3.57248747,0.592256397,0.795735904
CR45873,0.18850712,2.068780055,0.592298174,0.795735904
CG13185,-0.174889502,3.666561991,0.592302682,0.795735904
Ect3,-0.226163352,1.225222022,0.592535326,0.795935442
pwn,0.177334555,4.137784218,0.59276077,0.796125253
isopeptidase-T-3,-0.159574852,4.333986888,0.59297225,0.796296257
SCAR,-0.104525009,6.352255732,0.593232692,0.796532954
pncr015:3L,0.20238247,1.375174045,0.593590886,0.796898529
Mipp2,0.196631832,1.843795393,0.593698336,0.796898529
Tango14,-0.166167282,4.06700848,0.593772821,0.796898529
snoRNA:Psi18S-531,-0.193243771,1.839057674,0.593841844,0.796898529
Atx2,-0.092926109,7.30894466,0.594014302,0.79701692
CR44299,0.230889495,0.428403243,0.594257182,0.797229755
gny,0.170055773,3.943236837,0.594958991,0.79805812
CG10795,-0.154575839,4.432582159,0.595225877,0.798302941
RpL40,-0.092455391,9.557702793,0.595349736,0.798307108
CG11109,-0.204317056,1.007961428,0.595397724,0.798307108
mRpS16,-0.158807243,4.517770269,0.595821592,0.798705305
Cont,0.08721744,7.702558911,0.595863533,0.798705305
CG2321,-0.191910068,1.604086514,0.596015571,0.798795939
eIF2B-epsilon,0.148074298,4.639614533,0.596364582,0.799150499
CG17265,-0.186464964,3.249525075,0.596760824,0.799509924
RecQ5,-0.14283809,5.009267091,0.596801796,0.799509924
beg,0.168271789,3.972113545,0.597135404,0.799843601
CG42232,0.177639377,5.18687199,0.597260162,0.799881277
CG8397,-0.098693904,6.868986436,0.597332605,0.799881277
Cf2,0.111325899,6.089399932,0.59792385,0.80044671
AttC,0.206282316,1.207290653,0.597983331,0.80044671
IntS1,-0.129905142,5.15195897,0.598008644,0.80044671
ken,0.124121978,5.423857512,0.598384388,0.800765869
rec,-0.193071584,1.373995065,0.598416345,0.800765869
kug,-0.107088794,6.1546373,0.598568327,0.800855983
CG7011,0.158981978,4.46607821,0.598745871,0.800980268
NTPase,-0.086749525,8.15023,0.598850476,0.801006956
CG14483,-0.156703453,4.287907685,0.598983742,0.801071968
CSN5,0.155094107,5.206940916,0.599143367,0.801073741
ND-MWFE,-0.093212768,6.858067906,0.59923173,0.801073741
CG3368,-0.142211192,4.785884067,0.599285529,0.801073741
Aprt,0.182943573,3.471741899,0.599323717,0.801073741
CG5500,-0.142311693,4.836324108,0.599726102,0.801399049
CG15456,-0.157889442,4.368165433,0.59973649,0.801399049
l(3)72Ab,0.127758198,6.114925009,0.599905059,0.801476478
Afti,-0.124315347,5.364413341,0.599963844,0.801476478
CG8520,0.106113334,6.063131243,0.600209802,0.801562593
Hus1-like,0.215012248,2.807912581,0.600220357,0.801562593
Arpc3B,0.230525568,0.495760501,0.600323996,0.801562593
CG12531,-0.171219144,3.83764103,0.600367163,0.801562593
Gtp-bp,0.107925725,5.977733352,0.600578756,0.801685321
ap,0.215093535,2.171062015,0.600657628,0.801685321
vito,0.193608266,4.016144876,0.600713266,0.801685321
Baldspot,-0.092426639,9.694512851,0.600867126,0.80177757
CG2258,0.119661772,5.71189038,0.601371534,0.802337487
eRF1,0.100027029,7.384425336,0.601725688,0.802627235
CG10444,0.107975301,5.957698197,0.601852722,0.802627235
Cbp20,0.167580653,4.638702558,0.601902069,0.802627235
l(2)10685,0.185541272,3.420948232,0.601928013,0.802627235
Bet5,0.160266183,4.14025376,0.602203456,0.802881373
CG12229,-0.229497172,0.848875494,0.60335169,0.804298914
nbs,-0.132030352,5.079375914,0.604056078,0.805031755
RpI1,-0.153966982,4.431435418,0.604071598,0.805031755
Pp1-87B,0.089046054,8.12413592,0.604286832,0.805205183
CR42549,-0.149010067,4.648611358,0.604696281,0.805637314
CG18476,-0.142423738,4.806231438,0.604828509,0.805700035
GluRIID,0.203303276,1.054340252,0.605102323,0.805826829
CG41128,-0.104236896,6.502628153,0.605148008,0.805826829
CG5126,0.161599221,3.925226117,0.605179185,0.805826829
CR43628,0.187477614,2.06483896,0.605359426,0.80595341
scyl,0.089726841,8.021029351,0.605553638,0.806098555
mRpL11,0.18016604,4.103296254,0.605718734,0.806169578
CG9795,0.107334817,6.494660189,0.605777393,0.806169578
gdl,-0.211608913,1.157604773,0.60594602,0.806189776
CG13177,0.394683824,3.394700831,0.605962977,0.806189776
sba,-0.10070187,6.217912333,0.606136151,0.806306799
RpS25,0.088029488,10.1023469,0.606247637,0.80634174
scat,0.111969023,5.678123728,0.606589864,0.806683527
lwr,0.141408873,6.875144304,0.606918601,0.806923102
Ir76a,0.131098185,5.080549926,0.606978831,0.806923102
CG18659,0.094128315,6.717411009,0.607025855,0.806923102
mRpL41,-0.158326428,4.128750961,0.607209807,0.806974459
TMS1,-0.085847235,7.732002336,0.607235061,0.806974459
CR45620,-0.204021629,1.841538581,0.607560765,0.807224145
Trs33,-0.170147162,3.164718904,0.60759357,0.807224145
CR44003,0.227494169,2.221970941,0.607741798,0.80730772
l(3)03670,0.091081354,7.102495493,0.607853252,0.80734243
CG16791,-0.094327096,6.797831983,0.6080762,0.807525194
CG5104,0.118994756,5.549946725,0.608235534,0.807571541
Msh6,-0.174414799,2.741827925,0.608281798,0.807571541
CG43921,0.098904218,6.284549605,0.608474175,0.807713614
CG7544,-0.172558836,3.545854065,0.608607719,0.807777561
CG11999,-0.128348122,5.368500386,0.608872856,0.808016124
C1GalTA,0.103689366,6.051062599,0.609095037,0.808027173
Cdc37,-0.115019096,5.931642027,0.609115221,0.808027173
MRE23,-0.241862321,0.442580302,0.609137374,0.808027173
CG40298,0.199599932,1.991806724,0.609985907,0.80903934
Cyp28a5,-0.101853599,6.675369,0.610198481,0.809072384
CG12264,-0.099103527,6.348304621,0.610241669,0.809072384
Ing3,0.150021347,4.373948197,0.610381057,0.809072384
Ubqn,-0.084830852,7.892718525,0.610449682,0.809072384
CG43759,0.156315958,4.485532567,0.610470504,0.809072384
CG6758,-0.165094629,3.65520008,0.610523866,0.809072384
CG11802,-0.142675618,4.669963417,0.610626851,0.809095542
mRpS31,-0.116259087,5.591789612,0.611111768,0.809414539
Ssu72,-0.124149469,5.1833817,0.611167593,0.809414539
Sclp,0.181668985,3.439941937,0.611168481,0.809414539
Ntf-2,0.119697416,6.786410204,0.611209774,0.809414539
CR44704,0.171790403,2.111117263,0.611389599,0.809434323
CG15814,-0.100679636,6.421363666,0.611408329,0.809434323
CG6325,-0.169130495,3.934781259,0.611557761,0.809434323
CG13865,-0.108510129,5.854727758,0.611566896,0.809434323
CG31950,0.168199937,2.497719688,0.611795257,0.809623318
PMP34,-0.09677902,6.677754465,0.611935339,0.809695452
GatA,0.161772239,4.156223042,0.612107226,0.809809643
CG4291,-0.159328456,3.904877309,0.612221812,0.809846624
COX4,-0.083616591,9.619455629,0.612352362,0.809846624
CG31974,0.20776941,1.614640629,0.612391946,0.809846624
Grip163,0.163605675,3.90163347,0.612528586,0.809914125
nero,0.162202086,4.360743606,0.613019303,0.81044972
Clc,-0.087133932,7.850614925,0.613305506,0.810714823
CG4538,0.091243151,7.167288814,0.613660564,0.811070856
CG1637,0.085016742,7.937989342,0.61376186,0.811091441
Elp2,-0.151289236,4.244045826,0.613896059,0.811155497
Swip-1,0.115246645,5.586272774,0.614067064,0.81126816
SCCRO3,-0.151497571,4.317044516,0.614309305,0.811366848
CR42765,-0.207600215,3.689585366,0.614324971,0.811366848
CG8360,-0.115097696,5.552241277,0.614406828,0.811366848
Arl2,0.157624967,3.855184668,0.614497046,0.811366848
CG14883,-0.12159977,5.437642744,0.614570514,0.811366848
Blos2,0.16192394,4.15528063,0.614657721,0.811368771
CG12182,0.171026649,2.853149513,0.615304563,0.812098806
CG14881,0.160374264,3.924762484,0.615382418,0.812098806
Cyp317a1,-0.099078581,6.35333829,0.615726232,0.812439215
mRpL42,0.159486481,4.191503528,0.615832865,0.812453357
Hr38,-0.168387337,3.823659288,0.61590868,0.812453357
snoRNA:Psi28S-2179,0.230153588,0.479094651,0.616042844,0.812507491
CG31550,0.092239324,6.746237769,0.616121459,0.812507491
l(2)35Be,0.178137197,3.915540436,0.616230298,0.812537776
Ephrin,0.100824376,6.707968897,0.616368372,0.812606595
CG12948,0.161779488,3.765692402,0.616729579,0.812946341
AdipoR,-0.085614034,7.868338565,0.616797905,0.812946341
pcx,-0.133824368,4.883278871,0.616988514,0.813084307
CG1764,0.154272261,4.128063822,0.617248135,0.813313167
CG10560,0.085472112,8.507824825,0.617469908,0.813492101
CR43496,0.172709493,3.024780254,0.617647567,0.813612875
Arp6,0.118492581,5.485672242,0.617856161,0.813717429
hyx,0.137434041,5.520474223,0.617898936,0.813717429
nonA-l,-0.16553321,5.203935301,0.618155415,0.813941906
CG31360,0.151893001,4.214271473,0.618418423,0.81415149
cold,0.096400213,6.320697768,0.618486674,0.81415149
CG14977,-0.130509163,4.941685645,0.61886558,0.814536948
Eaf6,0.193071103,3.754441302,0.61931868,0.814921801
Daxx,-0.105820573,5.898545852,0.619342492,0.814921801
CR43956,0.20683643,-0.021765171,0.61941636,0.814921801
LKRSDH,-0.163773469,3.648906742,0.619676432,0.8150869
Sema1a,0.116775113,5.402605129,0.619714136,0.8150869
CG2118,-0.125706312,5.065443864,0.619902036,0.815140621
Zip88E,0.164960442,2.948519552,0.619982722,0.815140621
Liprin-alpha,0.107390625,5.84428991,0.620013428,0.815140621
lft,0.101342002,6.010928659,0.620109464,0.815153618
sut1,-0.134016847,4.799629552,0.620341552,0.815340878
babo,-0.10480658,6.188883827,0.620481731,0.815340878
CG7289,-0.100594136,6.149471743,0.620573076,0.815340878
Hip14,0.106042975,5.952702152,0.620658206,0.815340878
RhoGAP92B,-0.110814807,5.611073288,0.620741591,0.815340878
CR44978,0.199762333,0.804587142,0.62080263,0.815340878
Rbpn-5,0.116917678,5.396481184,0.620855108,0.815340878
CG14174,0.161085151,3.016176268,0.621109009,0.815561121
IleRS-m,-0.159342536,3.770254491,0.62120791,0.815577805
fs(1)K10,0.147262732,5.163018726,0.621407336,0.815679642
CG10209,-0.150548809,4.206534198,0.621457888,0.815679642
CG15601,-0.170350336,2.925284526,0.621573457,0.815718176
gce,0.108285267,5.938555645,0.621882775,0.81601093
SmydA-4,-0.18992173,3.449383574,0.621976504,0.816020755
CG10211,-0.171174679,2.925449555,0.622219295,0.816226116
Debcl,-0.099538753,6.25705056,0.622877716,0.816964776
Pomp,-0.091346809,7.217568969,0.622955069,0.816964776
CG3700,0.112523186,5.570580321,0.623116066,0.817003684
eIF-3p40,0.089292497,7.715633531,0.623157429,0.817003684
CR12628,0.20375259,0.805416063,0.623378903,0.817180823
G9a,-0.114391861,5.414322243,0.623537997,0.81727615
CG8202,0.148855137,4.458437461,0.623929872,0.817676517
CG5039,0.189102003,2.512245145,0.624098712,0.817766761
CG10778,0.148521271,4.227846992,0.624171586,0.817766761
CG30491,0.147058264,4.245174055,0.624672908,0.818205118
mRpL4,0.121410291,5.555119111,0.624679113,0.818205118
CG3678,0.142270019,4.789781429,0.625002861,0.818515858
CG9135,-0.145428117,4.506203454,0.625099788,0.818529503
CG11906,0.173285444,4.12929443,0.62535849,0.818575602
CG1951,-0.123966061,5.090029262,0.625365552,0.818575602
Pcl,-0.123595563,5.043326306,0.625394528,0.818575602
Rbp1,0.100370422,6.422710099,0.625844233,0.819050917
CG14591,-0.097105134,6.433281127,0.626386922,0.819647774
CG8067,0.153553339,3.834642953,0.626556705,0.819756573
CG8673,-0.203126267,0.541394414,0.627066308,0.820309887
Khc-73,-0.086210488,7.194498365,0.627353521,0.820349119
CG6230,-0.102715771,5.810437368,0.627393354,0.820349119
CG10660,0.14364049,4.322036777,0.627456034,0.820349119
CG3270,-0.21175809,0.642559808,0.627478035,0.820349119
CG5167,-0.090851085,6.657800443,0.627529795,0.820349119
tko,0.134491441,4.79731616,0.628215638,0.820991822
CG5708,-0.108139336,6.204286865,0.628280938,0.820991822
CR43868,-0.246937948,0.173307366,0.62831664,0.820991822
alpha-Est1,-0.082551997,8.817256624,0.628561811,0.820991822
sca,-0.160641018,2.153529683,0.628563637,0.820991822
Mad1,0.183669282,5.163221939,0.628566927,0.820991822
CG14450,0.148152747,4.180616843,0.628628805,0.820991822
TfIIS,-0.117928387,5.407745818,0.628941641,0.821218213
Cdc23,0.159183314,3.043652752,0.628975733,0.821218213
chico,0.100754655,5.98035245,0.629111791,0.821230408
DNApol-iota,0.163881737,4.154355627,0.629158659,0.821230408
Rab32,0.125316142,6.160737182,0.629393182,0.821237269
CG32354,-0.118796156,5.206139538,0.629476826,0.821237269
Pex10,-0.144516613,4.217200794,0.629535268,0.821237269
CG3709,-0.163400542,2.687869957,0.629620643,0.821237269
CG40045,-0.087820081,6.761563329,0.629714721,0.821237269
CG9578,-0.144542778,4.356367251,0.629756854,0.821237269
Yp3,0.267649012,6.258648766,0.629852457,0.821237269
CG3570,-0.158835835,3.517159602,0.629858261,0.821237269
CG15343,-0.160046054,3.107904346,0.63003647,0.821356445
OstDelta,-0.09930146,7.19094604,0.630129071,0.821363999
zip,-0.080018349,7.830425359,0.630733317,0.82161028
mgr,-0.111680027,5.45121078,0.630757162,0.82161028
CG6094,-0.137939976,4.660806136,0.630873354,0.82161028
FeCH,0.089003937,6.783218425,0.63095799,0.82161028
Lkb1,-0.122386909,5.108821372,0.631027647,0.82161028
CG14907,0.163687295,3.5792549,0.631040608,0.82161028
CG15107,0.175009907,3.581223011,0.631098136,0.82161028
e(y)2,0.158579227,3.957393831,0.631105099,0.82161028
CG17816,-0.085745831,7.948995476,0.631129945,0.82161028
cype,-0.07848304,8.638002159,0.631202196,0.82161028
Rab7,-0.080898936,8.044519947,0.631318254,0.82161028
cyc,0.1129204,5.441686802,0.631558193,0.82161028
mRpS18C,-0.157441313,3.660416178,0.631580232,0.82161028
CG2021,0.179690889,3.306075476,0.631586108,0.82161028
CG3267,0.146945599,4.184606762,0.631626059,0.82161028
mr,0.136774975,4.826575137,0.631722952,0.82161028
CG3295,-0.110055493,5.567074314,0.631963275,0.82161028
knrl,-0.120785543,5.117644808,0.631970983,0.82161028
RpS18,0.091626887,9.696782024,0.632006377,0.82161028
mld,-0.093229174,6.623046942,0.632054664,0.82161028
ND-B17.2,-0.081590128,7.083148834,0.632292824,0.821705638
Imp,0.129746341,5.040636838,0.632347437,0.821705638
adp,0.115152486,5.350927582,0.632388549,0.821705638
Rab39,-0.10430983,5.7805308,0.632552326,0.821805589
Pex12,-0.151734408,3.821868513,0.632732595,0.821864859
NaPi-T,0.206391614,0.87657592,0.632771665,0.821864859
TM9SF2,-0.082629429,7.282324602,0.633077047,0.822148643
Vps13B,-0.134442192,4.681987265,0.633467052,0.822542233
EndoG,-0.154979899,3.436724436,0.633962038,0.822955178
CG17163,-0.145854481,4.614784027,0.634038072,0.822955178
CG9601,-0.147099827,4.297252166,0.634045999,0.822955178
P32,0.107326369,5.61238167,0.634143924,0.82296789
CG13392,-0.158752183,3.658022295,0.634229745,0.82296789
CG3061,-0.07884599,7.596481267,0.634337905,0.822995373
Adf1,-0.102903879,5.870957842,0.634747706,0.823414148
Adat1,-0.152771907,3.747414668,0.635425341,0.824039817
Bdbt,0.144961873,4.653910301,0.635481656,0.824039817
CG8892,-0.151784438,3.715869908,0.635497013,0.824039817
Rala,0.095509273,6.029882449,0.635608354,0.824039817
ORMDL,-0.116280881,5.202440046,0.635665465,0.824039817
CG11539,-0.159557094,3.03548883,0.635908666,0.824136083
mute,-0.140642093,4.383935724,0.635913924,0.824136083
tex,0.157364146,3.116278071,0.636287065,0.824262291
CG12818,0.192849858,3.265018983,0.63635367,0.824262291
Exo70,-0.128691859,4.798528669,0.636407682,0.824262291
unc-13-4A,0.149743135,3.826483454,0.636425959,0.824262291
CG1316,-0.083786378,7.005438713,0.636446871,0.824262291
CR43933,-0.178743055,1.585168929,0.636561858,0.824298385
CG43103,-0.157295361,2.996584841,0.636813341,0.82449909
alpha-Cat,0.093146781,7.52962344,0.636913933,0.82449909
RYBP,0.130284627,4.72169164,0.63699173,0.82449909
RASSF8,0.106495726,6.350090982,0.637108322,0.82449909
CG6195,-0.127072109,4.881244416,0.637152541,0.82449909
CG2453,0.140324603,4.431173028,0.637797514,0.825093996
CG12320,-0.152409545,3.357154491,0.637837709,0.825093996
CR44868,-0.195077595,0.56418779,0.637939717,0.825093996
CG11306,-0.097302832,6.016894696,0.637961073,0.825093996
CG2059,-0.110805644,5.354031783,0.63813808,0.825103333
CG5543,0.157390487,4.093491931,0.638142696,0.825103333
MAPk-Ak2,-0.079225654,7.583480063,0.638248146,0.825126924
bip2,0.084955818,6.813943657,0.638452951,0.825135678
Edem2,0.093334302,6.14682785,0.638563793,0.825135678
CG4676,0.165518938,1.830961607,0.638584373,0.825135678
l(1)G0007,0.138327992,5.435011717,0.638603738,0.825135678
e(r),0.118275024,6.712038668,0.638986255,0.825492522
CG12717,-0.145662605,3.941623093,0.63911895,0.825492522
Rgk1,0.119458212,5.127192177,0.639141642,0.825492522
CG11138,-0.089156385,6.46236118,0.639261387,0.825534494
CG17802,0.157704825,2.722238313,0.639359728,0.825548819
CG7630,-0.077833899,8.313030553,0.639547796,0.825570187
CG13126,-0.143921573,4.2330617,0.639550779,0.825570187
Vhl,-0.148109387,3.888193689,0.640085574,0.826081782
Sec61beta,-0.092521151,6.184536297,0.64012171,0.826081782
FoxK,0.101175144,6.840801393,0.640362232,0.826203554
Golgin84,0.130011713,4.884173049,0.640390706,0.826203554
CG10958,0.145998924,3.976922487,0.640620644,0.826351067
lolal,0.109199798,7.265099207,0.640679711,0.826351067
ND-23,0.076890148,7.698407337,0.641148541,0.826784472
Tap42,-0.129627664,4.682579233,0.641190494,0.826784472
Trp1,0.077829167,7.90506545,0.641370776,0.826904249
pen-2,0.160600509,3.87751197,0.641476644,0.826926276
Smyd3,0.139420863,4.324152591,0.64162484,0.826926276
IKKepsilon,0.13625728,4.650116357,0.641650044,0.826926276
CG30438,0.085358455,6.979503578,0.64216995,0.827468443
CG2931,-0.133001386,4.501728517,0.64224564,0.827468443
Spn,0.114683555,6.971396312,0.642519272,0.827676174
CG31183,0.144723778,3.961153609,0.64258182,0.827676174
gig,0.102153924,6.063304486,0.642887889,0.827957698
CG14613,-0.144317744,4.060007535,0.643108109,0.828128596
l(2)k09913,0.079024316,8.000458904,0.643397361,0.828292383
Klp98A,0.086144393,6.632545375,0.64341038,0.828292383
CG31717,-0.109714724,5.308397833,0.643601382,0.828355222
GstT3,0.131096857,4.726821443,0.643634283,0.828355222
cpb,0.097718481,5.942984835,0.643723321,0.828357142
AIMP1,-0.137415748,4.335114889,0.643914158,0.828490042
pds5,-0.107123187,5.705159944,0.644082513,0.828539875
Pif1A,0.186191945,1.010943134,0.64417466,0.828539875
gcl,-0.123155529,4.836489707,0.644215585,0.828539875
CG3634,0.112158435,5.319542801,0.644351602,0.828602183
IntS4,0.137326769,4.757944998,0.644852209,0.829045848
GCC88,0.119078128,5.656623948,0.64487185,0.829045848
Srp19,-0.110720916,5.241705176,0.645140349,0.829169606
CG2921,-0.113824807,5.160603147,0.645206736,0.829169606
Cog7,-0.114758004,5.202204442,0.645280665,0.829169606
haf,0.166654102,1.665562924,0.64531864,0.829169606
tos,-0.151946863,2.526334663,0.645497573,0.829218285
CG7718,0.153267643,3.116884299,0.645567712,0.829218285
prtp,0.095756266,6.074558279,0.645619436,0.829218285
Arpc4,0.101585346,5.810142642,0.645909131,0.829477768
Dhfr,0.144405608,4.205595744,0.646122731,0.829639474
Alg10,0.144661519,4.057391885,0.646366426,0.829839773
PTP-ER,-0.099273222,5.751467706,0.646459294,0.829846404
park,-0.150557886,2.671747453,0.646626645,0.829948633
CG10898,-0.128599417,4.67399604,0.64682195,0.830086707
CG43736,0.099128317,6.836937782,0.647054891,0.83017753
AGO2,0.074833165,7.859454744,0.647071115,0.83017753
CG1806,0.098694034,5.674134575,0.647155936,0.83017753
CG14995,0.079688371,7.20306347,0.647802139,0.830839078
rush,-0.084846577,6.556302293,0.647847254,0.830839078
MFS16,0.13441182,4.335668288,0.648129848,0.83108885
CG14270,0.153100234,4.541958147,0.64831214,0.831209956
RpL13A,0.079651417,9.480541678,0.64868292,0.83147629
CG11537,-0.07926099,7.20807706,0.648749317,0.83147629
Tpc1,-0.123415123,4.824741661,0.648802408,0.83147629
Atac2,-0.149257184,3.473516595,0.648871373,0.83147629
Rad60,-0.145555338,3.791244062,0.649227983,0.831476723
ZC3H3,-0.121071416,4.853097804,0.649253997,0.831476723
CG34220,-0.195745299,1.100353591,0.649289296,0.831476723
Fbxl7,0.144557749,3.738324379,0.649320837,0.831476723
CG9265,-0.142942134,3.932165395,0.649387075,0.831476723
poly,-0.107382086,5.408504407,0.649398963,0.831476723
CG12391,0.139113571,5.972703328,0.649515966,0.831514013
Sec22,0.095303476,6.401594672,0.649824324,0.831796233
Cap-D3,-0.147862903,3.634953896,0.649921049,0.831807515
ATPsyndelta,0.078455039,8.003649275,0.650184214,0.832031787
CG42553,0.146455303,3.986583041,0.65037811,0.832167367
Lamp1,0.076912259,8.814574664,0.650697964,0.832464052
Rpn12,0.113352666,6.505823152,0.650858339,0.832556659
Ccs,-0.126042098,4.675306892,0.6509895,0.832611875
CG11652,-0.117375192,5.506792369,0.651164418,0.832723033
Sgt1,0.106020717,6.047207948,0.651315022,0.832803073
ATbp,0.157179136,3.045722102,0.651946021,0.833497265
CG12204,0.148405024,3.506244086,0.652187398,0.833693213
Arf79F,0.089095136,8.621945416,0.652808406,0.834374327
D12,-0.148383915,3.432493915,0.652941077,0.834431182
CG3149,0.103898272,5.548910506,0.653221845,0.834570487
CG18600,0.172256884,4.317878069,0.653294311,0.834570487
Tsp26A,-0.136816957,4.164857993,0.65331469,0.834570487
CG42588,0.139512777,4.529858749,0.653756143,0.834980645
CG18596,-0.110605093,5.122205193,0.653910372,0.834980645
Cnb,0.149432731,3.175136323,0.653947929,0.834980645
CG17036,0.147497053,2.358293216,0.653988751,0.834980645
CG17724,-0.149666785,3.956362163,0.654738315,0.83582487
Trxr-1,-0.073508803,8.370987886,0.654901656,0.835920609
CG31548,0.122119812,4.821319394,0.655237984,0.836237092
bai,-0.081966414,6.647790127,0.655732741,0.836678016
opm,-0.131089768,4.334105584,0.655913936,0.836678016
Vps35,0.089057529,6.889709429,0.656069248,0.836678016
CG2137,-0.167862669,1.116800728,0.656078933,0.836678016
sick,0.083567837,6.619672558,0.656154501,0.836678016
CG16787,-0.135838903,4.164874172,0.656178004,0.836678016
sau,0.085260935,6.752093352,0.656202447,0.836678016
CG18754,0.194672396,0.149443972,0.6563129,0.836679263
sicily,0.135340437,4.158154823,0.656380276,0.836679263
CG4866,0.176338455,3.797926099,0.656867811,0.837182749
Seipin,-0.137278809,4.193308476,0.656952221,0.837182749
CG7386,-0.144543594,2.753628941,0.657071232,0.837221653
GluProRS,-0.094647558,5.790407846,0.657512486,0.837591908
CG1136,0.133686992,4.390639734,0.65753886,0.837591908
Gasz,-0.129722923,4.402215632,0.657642092,0.837592657
